시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,24.0,315.0,17.0,"7,249",747.0,476.0,69.0,0.0,21.0,"5,663",59.0,5.0,0.0,452.0,67.0,0.0,206.0,57.0,0.0,45.0,0.0,2.0,13.0,198.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,5.0,47.0,3.0,"1,136",94.0,108.0,9.0,0.0,1.0,140,0.0,0.0,0.0,4.0,11.0,0.0,53.0,5.0,0.0,10.0,0.0,1.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,1.0,24.0,0.0,910,7.0,13.0,5.0,0.0,0.0,268,1.0,0.0,0.0,11.0,3.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,0.0,10.0,1.0,282,2.0,38.0,1.0,0.0,3.0,125,2.0,0.0,0.0,7.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,2.0,15.0,1.0,606,126.0,20.0,8.0,0.0,2.0,65,1.0,1.0,0.0,4.0,2.0,0.0,16.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,1.0,4.0,0.0,172,5.0,3.0,0.0,0.0,0.0,168,6.0,0.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,0.0,7.0,0.0,135,6.0,10.0,3.0,0.0,0.0,133,0.0,0.0,0.0,4.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,0.0,7.0,0.0,131,1.0,2.0,0.0,0.0,3.0,177,0.0,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,1.0,102.0,5.0,"1,501",434.0,133.0,9.0,0.0,5.0,360,3.0,0.0,0.0,66.0,16.0,0.0,66.0,14.0,0.0,8.0,0.0,1.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,1.0,8.0,3.0,136,29.0,5.0,0.0,0.0,0.0,20,4.0,0.0,0.0,37.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,2.0,8.0,1.0,151,2.0,12.0,0.0,0.0,1.0,119,2.0,0.0,0.0,4.0,3.0,0.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,2.0,14.0,0.0,226,8.0,17.0,5.0,0.0,1.0,788,15.0,0.0,0.0,102.0,2.0,0.0,9.0,5.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,1.0,7.0,0.0,221,6.0,11.0,3.0,0.0,1.0,728,6.0,1.0,0.0,54.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,0.0,20.0,1.0,435,14.0,14.0,13.0,0.0,3.0,"1,024",13.0,0.0,0.0,77.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,2.0,14.0,2.0,417,6.0,43.0,3.0,0.0,0.0,364,2.0,0.0,0.0,23.0,2.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,5.0,24.0,0.0,701,5.0,26.0,9.0,0.0,1.0,"1,087",3.0,2.0,0.0,44.0,5.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,3.0,0.0,79,2.0,19.0,1.0,0.0,0.0,53,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,1.0,1.0,0.0,10,0.0,2.0,0.0,0.0,0.0,44,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
