시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,3.0,120.0,0.0,"3,074",147.0,143.0,1.0,0.0,8.0,578.0,7.0,4.0,0.0,110.0,15.0,0.0,80.0,22.0,0.0,6.0,0.0,1.0,0.0,22.0,0.0,438.0,213.0,35.0,6.0,576.0,3.0
서울,0.0,15.0,0.0,484,25.0,26.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,3.0,0.0,21.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,116.0,81.0,9.0,0.0,150.0,3.0
부산,0.0,9.0,0.0,379,2.0,5.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,14.0,6.0,0.0,44.0,0.0
대구,0.0,2.0,0.0,125,2.0,8.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,7.0,2.0,0.0,29.0,0.0
인천,0.0,12.0,0.0,251,18.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,4.0,0.0,29.0,0.0
광주,0.0,3.0,0.0,87,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,14.0,0.0
대전,0.0,1.0,0.0,60,1.0,7.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,15.0,0.0
울산,0.0,2.0,0.0,61,3.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,6.0,0.0
경기,1.0,31.0,0.0,608,83.0,37.0,1.0,0.0,0.0,23.0,0.0,1.0,0.0,10.0,7.0,0.0,34.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,106.0,42.0,5.0,2.0,149.0,0.0
강원,1.0,5.0,0.0,44,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,9.0,0.0,0.0,17.0,0.0
충북,1.0,5.0,0.0,58,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,11.0,0.0
충남,0.0,13.0,0.0,96,0.0,5.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,27.0,0.0
전북,0.0,8.0,0.0,91,1.0,6.0,0.0,0.0,0.0,68.0,1.0,0.0,0.0,18.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,16.0,0.0
전남,0.0,5.0,0.0,204,4.0,10.0,0.0,0.0,3.0,215.0,1.0,1.0,0.0,17.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,17.0,0.0
경북,0.0,4.0,0.0,141,3.0,8.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,5.0,4.0,0.0,19.0,0.0
경남,0.0,5.0,0.0,336,3.0,4.0,0.0,0.0,0.0,148.0,2.0,2.0,0.0,15.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,15.0,4.0,3.0,22.0,0.0
제주,0.0,0.0,0.0,37,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,8.0,0.0
세종,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
미상,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
