시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,31.0,389.0,34.0,"9,810",559.0,501.0,42.0,0.0,14.0,"4,005",138.0,1.0,0.0,399.0,53.0,0.0,273.0,162.0,0.0,23.0,0.0,8.0,16.0,223.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,1.0,67.0,7.0,"1,532",100.0,147.0,6.0,0.0,1.0,115,9.0,1.0,0.0,13.0,8.0,0.0,74.0,6.0,0.0,10.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,1.0,34.0,0.0,"1,087",14.0,23.0,4.0,0.0,0.0,279,8.0,0.0,0.0,18.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,4.0,10.0,3.0,412,2.0,15.0,0.0,0.0,0.0,69,2.0,0.0,0.0,3.0,1.0,0.0,16.0,8.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,1.0,21.0,1.0,893,87.0,44.0,0.0,0.0,2.0,49,5.0,0.0,0.0,10.0,2.0,0.0,18.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,2.0,6.0,2.0,224,4.0,14.0,0.0,0.0,1.0,79,4.0,0.0,0.0,8.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,2.0,14.0,1.0,189,5.0,3.0,0.0,0.0,0.0,117,0.0,0.0,0.0,1.0,3.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,1.0,6.0,0.0,150,2.0,4.0,1.0,0.0,2.0,142,1.0,0.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,5.0,84.0,8.0,"1,999",294.0,129.0,9.0,0.0,2.0,289,20.0,0.0,0.0,51.0,17.0,0.0,84.0,19.0,0.0,6.0,0.0,1.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,0.0,14.0,2.0,210,15.0,14.0,0.0,0.0,0.0,29,8.0,0.0,0.0,16.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,0.0,19.0,1.0,206,7.0,14.0,2.0,0.0,0.0,96,6.0,0.0,0.0,16.0,2.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,3.0,20.0,4.0,381,9.0,13.0,1.0,0.0,0.0,442,24.0,0.0,0.0,52.0,0.0,0.0,7.0,20.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,1.0,15.0,0.0,343,3.0,13.0,4.0,0.0,1.0,401,8.0,0.0,0.0,58.0,5.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,2.0,20.0,2.0,685,0.0,18.0,7.0,0.0,1.0,667,13.0,0.0,0.0,76.0,4.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,5.0,28.0,1.0,412,5.0,31.0,1.0,0.0,1.0,276,17.0,0.0,0.0,40.0,4.0,0.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,2.0,23.0,2.0,929,8.0,12.0,6.0,0.0,0.0,839,12.0,0.0,0.0,32.0,2.0,0.0,11.0,9.0,0.0,2.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,8.0,0.0,132,3.0,7.0,1.0,0.0,3.0,104,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,1.0,0.0,0.0,26,1.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
