시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,30.0,382.0,7.0,"11,850",385.0,368.0,70.0,0.0,1.0,"4,479",114.0,8.0,0.0,270.0,64.0,0.0,43.0,69.0,0.0,18.0,0.0,1.0,1.0,243.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,1.0,63.0,0.0,"1,723",57.0,106.0,11.0,0.0,0.0,97,6.0,1.0,0.0,7.0,18.0,0.0,15.0,1.0,0.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,3.0,22.0,0.0,"1,625",2.0,20.0,8.0,0.0,0.0,413,9.0,0.0,0.0,9.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,2.0,14.0,0.0,431,3.0,11.0,0.0,0.0,0.0,125,1.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,0.0,18.0,0.0,815,48.0,18.0,6.0,0.0,1.0,33,1.0,0.0,0.0,4.0,5.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,1.0,8.0,0.0,378,5.0,13.0,1.0,0.0,0.0,118,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,0.0,14.0,0.0,231,3.0,7.0,0.0,0.0,0.0,113,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,0.0,7.0,0.0,270,3.0,2.0,1.0,0.0,0.0,235,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,3.0,105.0,6.0,"2,150",227.0,83.0,10.0,0.0,0.0,236,11.0,1.0,0.0,35.0,18.0,0.0,13.0,11.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,1.0,15.0,1.0,238,12.0,8.0,1.0,0.0,0.0,20,6.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,3.0,11.0,0.0,232,5.0,15.0,0.0,0.0,0.0,67,6.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,6.0,20.0,0.0,394,7.0,10.0,9.0,0.0,0.0,371,13.0,0.0,0.0,26.0,1.0,0.0,2.0,10.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,4.0,20.0,0.0,332,4.0,11.0,2.0,0.0,0.0,402,10.0,3.0,0.0,44.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,2.0,17.0,0.0,882,1.0,12.0,11.0,0.0,0.0,812,13.0,3.0,0.0,49.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,1.0,12.0,0.0,607,3.0,16.0,2.0,0.0,0.0,265,13.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,2.0,32.0,0.0,"1,333",4.0,16.0,7.0,0.0,0.0,"1,064",16.0,0.0,0.0,22.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,2.0,0.0,179,0.0,19.0,1.0,0.0,0.0,78,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,1.0,2.0,0.0,30,1.0,1.0,0.0,0.0,0.0,30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
