시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,21.0,453.0,23.0,"10,116",294.0,383.0,52.0,0.0,9.0,"5,915",144.0,4.0,0.0,310.0,68.0,0.0,3.0,46.0,0.0,8.0,0.0,2.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,3.0,71.0,3.0,"1,553",40.0,67.0,5.0,0.0,0.0,119,7.0,0.0,0.0,8.0,15.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,1.0,29.0,0.0,"1,401",3.0,16.0,4.0,0.0,0.0,421,13.0,0.0,0.0,11.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,2.0,11.0,1.0,370,1.0,24.0,3.0,0.0,0.0,142,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,0.0,28.0,2.0,739,46.0,24.0,4.0,0.0,1.0,58,2.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,0.0,15.0,1.0,286,0.0,15.0,2.0,0.0,0.0,156,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,3.0,8.0,1.0,188,3.0,6.0,0.0,0.0,0.0,160,5.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,0.0,7.0,0.0,229,3.0,3.0,1.0,0.0,5.0,248,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,3.0,143.0,8.0,"1,881",175.0,86.0,8.0,0.0,1.0,341,12.0,3.0,0.0,29.0,20.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,0.0,15.0,1.0,218,8.0,7.0,0.0,0.0,0.0,29,6.0,0.0,0.0,32.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,2.0,15.0,1.0,192,3.0,12.0,1.0,0.0,0.0,119,9.0,0.0,0.0,7.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,3.0,29.0,0.0,380,4.0,4.0,1.0,0.0,0.0,571,22.0,0.0,0.0,43.0,3.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,1.0,15.0,0.0,290,1.0,10.0,3.0,0.0,0.0,732,13.0,0.0,0.0,76.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,0.0,14.0,1.0,682,4.0,32.0,8.0,0.0,0.0,"1,118",8.0,1.0,0.0,45.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,1.0,24.0,0.0,484,2.0,22.0,2.0,0.0,0.0,385,16.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,2.0,20.0,3.0,"1,063",1.0,15.0,10.0,0.0,1.0,"1,246",21.0,0.0,0.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,5.0,0.0,127,0.0,40.0,0.0,0.0,1.0,37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,0.0,4.0,1.0,33,0.0,0.0,0.0,0.0,0.0,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
