시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,34.0,391.0,9.0,"6,396",515.0,198.0,46.0,0.0,18.0,"10,528",103.0,6.0,0.0,531.0,38.0,0.0,171.0,96.0,0.0,31.0,0.0,2.0,5.0,272.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,6.0,74.0,3.0,"1,036",68.0,61.0,6.0,0.0,3.0,307,2.0,2.0,0.0,19.0,10.0,0.0,48.0,5.0,0.0,7.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,2.0,25.0,0.0,788,3.0,9.0,2.0,0.0,0.0,769,3.0,0.0,0.0,13.0,3.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,1.0,16.0,1.0,228,4.0,7.0,2.0,0.0,0.0,216,1.0,0.0,0.0,3.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,2.0,23.0,2.0,478,80.0,15.0,4.0,0.0,0.0,91,0.0,0.0,0.0,5.0,1.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,0.0,6.0,1.0,139,9.0,0.0,2.0,0.0,4.0,330,4.0,0.0,0.0,14.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,0.0,11.0,0.0,122,1.0,0.0,1.0,0.0,0.0,297,3.0,0.0,0.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,2.0,13.0,0.0,101,3.0,5.0,4.0,0.0,1.0,540,3.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,1.0,93.0,0.0,"1,275",295.0,50.0,10.0,0.0,1.0,724,17.0,0.0,0.0,109.0,8.0,0.0,54.0,9.0,0.0,7.0,0.0,0.0,1.0,56.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,1.0,12.0,1.0,118,12.0,7.0,0.0,0.0,0.0,59,9.0,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,0.0,13.0,0.0,141,2.0,9.0,1.0,0.0,1.0,241,4.0,1.0,0.0,31.0,2.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,2.0,19.0,0.0,225,10.0,7.0,3.0,0.0,1.0,"1,250",17.0,0.0,0.0,85.0,1.0,0.0,8.0,13.0,0.0,3.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,2.0,23.0,0.0,169,3.0,5.0,2.0,0.0,2.0,"1,067",10.0,1.0,0.0,46.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,6.0,18.0,0.0,602,3.0,2.0,3.0,0.0,2.0,"1,620",8.0,0.0,0.0,98.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,3.0,16.0,1.0,278,13.0,10.0,1.0,0.0,0.0,657,13.0,0.0,0.0,48.0,2.0,0.0,10.0,4.0,0.0,3.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,6.0,25.0,0.0,590,4.0,6.0,4.0,0.0,3.0,"2,186",8.0,0.0,0.0,32.0,3.0,0.0,6.0,12.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,4.0,0.0,87,4.0,4.0,1.0,0.0,0.0,109,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,0.0,0.0,0.0,19,1.0,1.0,0.0,0.0,0.0,65,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
