시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,24.0,359.0,28.0,1.0,673.0,128.0,56.0,0.0,18.0,"11,105",117.0,4.0,0.0,575.0,43.0,0.0,313.0,81.0,0.0,27.0,0.0,4.0,10.0,165.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,1.0,61.0,16.0,1.0,97.0,43.0,5.0,0.0,4.0,352,8.0,1.0,0.0,28.0,13.0,0.0,96.0,7.0,0.0,11.0,0.0,0.0,3.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,3.0,21.0,0.0,0.0,9.0,8.0,4.0,0.0,1.0,868,5.0,1.0,0.0,15.0,3.0,0.0,23.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,0.0,11.0,2.0,0.0,12.0,4.0,3.0,0.0,0.0,235,3.0,0.0,0.0,1.0,3.0,0.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,2.0,17.0,1.0,0.0,84.0,9.0,4.0,0.0,3.0,117,1.0,0.0,0.0,7.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,1.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,320,1.0,0.0,0.0,10.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,1.0,8.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,307,3.0,0.0,0.0,11.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,0.0,5.0,0.0,0.0,7.0,2.0,1.0,0.0,2.0,471,3.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,5.0,91.0,3.0,0.0,381.0,22.0,12.0,0.0,2.0,973,24.0,0.0,0.0,138.0,8.0,0.0,87.0,9.0,0.0,5.0,0.0,2.0,1.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,0.0,10.0,0.0,0.0,27.0,5.0,1.0,0.0,0.0,118,6.0,0.0,0.0,15.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,2.0,16.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,252,5.0,0.0,0.0,43.0,1.0,0.0,4.0,18.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,2.0,21.0,1.0,0.0,5.0,4.0,2.0,0.0,2.0,"1,006",7.0,0.0,0.0,65.0,3.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,0.0,33.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,"1,029",8.0,0.0,0.0,45.0,2.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,4.0,21.0,2.0,0.0,9.0,4.0,6.0,0.0,2.0,"1,763",25.0,0.0,0.0,90.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,0.0,15.0,0.0,0.0,9.0,8.0,4.0,0.0,0.0,746,2.0,0.0,0.0,47.0,1.0,0.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,3.0,19.0,0.0,0.0,10.0,6.0,8.0,0.0,1.0,"2,338",13.0,0.0,0.0,54.0,2.0,0.0,16.0,8.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,2.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,137,2.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
